FRAMES,FP1_FORCE_X,FP1_FORCE_Y,FP1_FORCE_Z,FP1_COFP_X,FP1_COFP_Y,FP1_COFP_Z,FP1_FREEMOMENT_Z,FP2_FORCE_X,FP2_FORCE_Y,FP2_FORCE_Z,FP2_COFP_X,FP2_COFP_Y,FP2_COFP_Z,FP2_FREEMOMENT_Z,f_Heel_contact_1,f_Toe_off_1,f_Heel_contact_2,f_Toe_off_2
5005,-2.3232145342009786e-52,-5.062670088757881e-52,-2.788105735986771e-51,,,,1.2835015261288312e-53,-1.5747218863470403e-28,7.491992146099863e-28,9.683092705375424e-28,,,,-5.920052082094099e-29,948,2382,2185,3578
5006,-1.7933307180740415e-52,-6.305303298515049e-52,-3.671372969004451e-51,,,,-2.2283073425307252e-53,-1.4685325116701826e-28,7.423573293899669e-28,9.111051794999246e-28,,,,-6.64698311805971e-29,948,2382,2185,3578
5007,-1.2853061641609527e-52,-7.360579266274857e-52,-4.431959941491027e-51,,,,-5.412500022066299e-53,-1.352362478697962e-28,7.264854360795958e-28,8.469706449747315e-28,,,,-7.226005723401243e-29,948,2382,2185,3578
5008,-8.038591397013441e-53,-8.230773480623245e-52,-5.070455452297132e-51,,,,-8.255719097255785e-53,-1.2285650576085213e-28,7.0255726443319335e-28,7.773256849514771e-28,,,,-7.662205864153039e-29,948,2382,2185,3578
5009,-3.5296238259241406e-53,-8.920364291679508e-52,-5.588979054349561e-51,,,,-1.0750158464113815e-52,-1.0993920760011949e-28,6.715680180712824e-28,7.035408599030047e-28,,,,-7.962086093924988e-29,948,2382,2185,3578
5010,6.414491256031698e-54,-9.435787518766877e-52,-5.991023383066373e-51,,,,-1.2893192130879111e-52,-9.669733922696559e-29,6.345196616706409e-28,6.269237342618711e-28,,,,-8.133360843644257e-29,948,2382,2185,3578
5011,4.449366301439445e-53,-9.78518658921671e-52,-6.281292119807306e-51,,,,-1.4686967526102063e-52,-8.332996945219331e-29,5.924073722909165e-28,5.487073053498929e-28,,,,-8.184753435396672e-29,948,2382,2185,3578
5012,7.875717772427723e-53,-9.978161823704771e-52,-6.465536059761257e-51,,,,-1.6137971599223666e-52,-7.0020856484974e-29,5.462072312287609e-28,4.70040382204287e-28,,,,-8.125797301965187e-29,948,2382,2185,3578
5013,1.0908600347007223e-52,-1.0025522186992124e-51,-6.55038956813437e-51,,,,-1.7256577646448805e-52,-5.693737115909273e-29,4.968652102291332e-28,3.9197987299009305e-28,,,,-7.966643628087709e-29,948,2382,2185,3578
5014,1.354221813943588e-52,-9.939042508670812e-52,-6.543209509176814e-51,,,,-1.8056580369410534e-52,-4.422972394920443e-29,4.452874845445271e-28,3.154849184905455e-28,,,,-7.717877357781755e-29,948,2382,2185,3578
5015,1.5776438041646703e-52,-9.731228852075137e-52,-6.45191852322781e-51,,,,-1.855472618779088e-52,-3.2030479941067086e-29,3.9233208538866852e-28,2.4141279058180793e-28,,,,-7.390343238345579e-29,948,2382,2185,3578
5016,1.7616309691040487e-52,-9.415094376174288e-52,-6.284854311130861e-51,,,,-1.8770245291196312e-52,-2.045434353851484e-29,3.388018859213024e-28,1.7051645864434523e-28,,,,-6.994983299564523e-29,948,2382,2185,3578
5017,1.9071559170169158e-52,-9.003947699915472e-52,-6.050626366419589e-51,,,,-1.872439134133528e-52,-9.598192747184489e-30,2.854388981328944e-28,1.0344371352294522e-28,,,,-6.542686899609185e-29,948,2382,2185,3578
5018,2.015606522864413e-52,-8.511195445650648e-52,-5.757981376699812e-51,,,,-1.84399941336116e-52,4.586586414284256e-31,2.329198429498085e-28,4.073772787134799e-29,,,,-6.044154210137758e-29,948,2382,2185,3578
5019,2.088732629607737e-52,-7.950160312050509e-52,-5.415678299492575e-51,,,,-1.7941029907780554e-52,9.653993748769478e-30,1.8185294260034947e-28,-1.7161076573006716e-29,,,,-5.509773764875256e-29,948,2382,2185,3578
5020,2.128592597063951e-52,-7.333915710948512e-52,-5.0323739070156387e-51,,,,-1.7252213369825986e-52,1.794204369167327e-29,1.32775872791518e-28,-6.991199014756902e-29,,,,-4.949514460738425e-29,948,2382,2185,3578
5021,2.1375004033798205e-52,-6.675137700082966e-52,-4.616519391239087e-51,,,,-1.6398614860514613e-52,2.5292680901519565e-29,8.615480254193441e-29,-1.1726994387363299e-28,,,,-4.372832180343215e-29,948,2382,2185,3578
5022,2.117973937042627e-52,-5.985974657485629e-52,-4.176268427034523e-51,,,,-1.540530548821503e-52,3.169047854660612e-29,4.2384441571849574e-29,-1.5908054607543336e-28,,,,-3.78859100104979e-29,948,2382,2185,3578
5023,2.0726850476614254e-52,-5.277934875624015e-52,-3.719396909033283e-51,,,,-1.429703244178268e-52,3.7133659627526605e-29,1.7890089196267e-30,-1.9527436716068962e-28,,,,-3.204998769797313e-29,948,2382,2185,3578
5024,2.004411852637602e-52,-4.5617920062265015e-52,-3.253234408314068e-51,,,,-1.3097926120032025e-52,4.1632958738682144e-29,-3.537596812950509e-29,-2.2586061052549667e-28,,,,-2.629556655751784e-29,948,2382,2185,3578
5025,1.915993725342328e-52,-3.8475080614640985e-52,-2.7846072393679356e-51,,,,-1.1831240163128858e-52,4.521041866373838e-29,-6.892111873310061e-29,-2.50920303757879e-28,,,,-2.0690221448116333e-29,948,2382,2185,3578
5026,1.810289319489169e-52,-3.144173474881763e-52,-2.3197928867782193e-51,,,,-1.0519124952886588e-52,4.7898142930706074e-29,-9.872005227386076e-29,-2.70599139110763e-28,,,,-1.5293848115659364e-29,948,2382,2185,3578
5027,1.6901379149025725e-52,-2.459963546830157e-52,-1.8644854152832337e-51,,,,-9.18243466735791e-53,4.973702422531196e-29,-1.2470563688512111e-28,-2.8510008578432404e-28,,,,-1.0158540953807496e-29,948,2382,2185,3578
5028,1.5583243026141512e-52,-1.8021104444477498e-52,-1.4237713766924367e-51,,,,-7.840567533385965e-53,5.077546718105377e-29,-1.4686582729251838e-28,-2.9467588908731364e-28,,,,-5.32858217648983e-30,948,2382,2185,3578
5029,1.4175473628509705e-52,-1.176889795449404e-52,-1.0021156326040028e-51,,,,-6.511338521245654e-53,5.10681225617081e-29,-1.6523913433464313e-28,-2.9962156322222232e-28,,,,-8.405330639888107e-31,948,2382,2185,3578
5030,1.2703924285999728e-52,-5.8962080775073375e-53,-6.0335643291405776e-52,,,,-5.210883369748941e-53,5.067464825694915e-29,-1.7990982530736104e-28,-3.0026697544047265e-28,,,,3.276582582665368e-30,948,2382,2185,3578
5031,1.1193074705318521e-52,-4.467876268109161e-54,-2.307090264131192e-52,,,,-3.9535925190903358e-53,4.9658510852660276e-29,-1.9100294017788817e-28,-2.9696960981510386e-28,,,,7.00101299890496e-30,948,2382,2185,3578
5032,9.665830865443178e-53,4.544813326493741e-53,1.1322296914002028e-52,,,,-2.7520732624990263e-53,4.808583984140305e-29,-1.9867920386361412e-28,-2.901075890451405e-28,,,,1.031794143749305e-29,948,2382,2185,3578
5033,8.143362313464738e-53,9.052911894354293e-53,4.264292448177225e-52,,,,-1.617138206070207e-53,4.6024344830463434e-29,-2.031299092939072e-28,-2.800730226938175e-28,,,,1.32190880260813e-29,948,2382,2185,3578
5034,6.644975785737368e-53,1.3060270547340202e-52,7.074683548788035e-52,,,,-5.578179480536573e-54,4.3542304408050445e-29,-2.045718399948545e-28,-2.672657402168978e-28,,,,1.5702260856633284e-29,948,2382,2185,3578
5035,5.188023700349394e-53,1.6557601825673349e-52,9.554379851494615e-52,,,,4.1860424702088265e-54,4.0707633663600033e-29,-2.032422945771531e-28,-2.520874571904393e-28,,,,1.7770866438280512e-29,948,2382,2185,3578
5036,3.7878457391134043e-53,1.954301224866944e-52,1.1699407700956399e-51,,,,1.3065380995345047e-53,3.75870357445448e-29,-1.9939426888098499e-28,-2.349364134198968e-28,,,,1.9433389309408258e-29,948,2382,2185,3578
5037,2.4577414604134685e-53,2.2021397795515524e-52,1.3510464798799284e-51,,,,2.1020146688028254e-53,3.4245241285903634e-29,-1.9329184474714814e-28,-2.1620251221168017e-28,,,,2.0702850170727466e-29,948,2382,2185,3578
5038,1.2089716575973665e-53,2.400380290474981e-52,1.4992513758269334e-51,,,,2.8025998091486907e-53,3.074433808488946e-29,-1.8520582754229662e-28,-1.962629811081499e-28,,,,2.159625138275722e-29,948,2382,2185,3578
5039,5.078599982404087e-55,2.5506754395760243e-52,1.615435501459436e-51,,,,3.4072951160281927e-53,2.71431920224242e-29,-1.7540966776127297e-28,-1.7547856590801428e-28,,,,2.2134018082402024e-29,948,2382,2185,3578
5040,-1.0095256384847891e-53,2.6551581070202018e-52,1.7008186377323197e-51,,,,3.916428709036318e-53,2.3496958966746603e-29,-1.6417569534620242e-28,-1.5419026188334368e-28,,,,2.2339442527772696e-29,948,2382,2185,3578
5041,-1.9665608394914398e-53,2.716372902143279e-52,1.756915606400008e-51,,,,4.331538130556959e-53,1.9856686238786732e-29,-1.5177168887645538e-28,-1.3271657881603168e-28,,,,2.223813859125838e-29,948,2382,2185,3578
5042,-2.8167140190214036e-53,2.7372081882505516e-52,1.785491555708321e-51,,,,4.655247547045143e-53,1.626900118016493e-29,-1.3845779556292008e-28,-1.1135132985192284e-28,,,,2.1857512600744312e-29,948,2382,2185,3578
5043,-3.5580702478244683e-53,2.7208294394034535e-52,1.7885178088773092e-51,,,,4.891141327643084e-53,1.2775883446073055e-29,-1.244838120822746e-28,-9.036192823930694e-29,,,,2.1226255989742486e-29,948,2382,2185,3578
5044,-4.190286215221962e-53,2.6706146787751136e-52,1.76812879917192e-51,,,,5.043635945234733e-53,9.41451684858118e-30,-1.1008683076099932e-28,-6.998817079788001e-29,,,,2.037386447025021e-29,948,2382,2185,3578
5045,-4.71446097027792e-53,2.5900926574342737e-52,1.7265805567266073e-51,,,,5.117852001286652e-53,6.217215901028455e-30,-9.548925050464253e-29,-5.0441482461714656e-29,,,,1.9330187697710373e-29,948,2382,2185,3578
5046,-5.132998983811111e-53,2.482884340881922e-52,1.666211152624241e-51,,,,5.119488020972158e-53,3.2114216594773734e-30,-8.089714719654185e-29,-3.190459245247595e-29,,,,1.8125012664943122e-29,948,2382,2185,3578
5047,-5.449467957624502e-53,2.3526481795714573e-52,1.589403445889475e-51,,,,5.054697502079764e-53,4.197610196913485e-31,-6.649899408461076e-29,-1.4531609555252582e-29,,,,1.6787683349820993e-29,948,2382,2185,3578
5048,-5.668453668920258e-53,2.2030295501331125e-52,1.4985504198317718e-51,,,,4.9299705328693075e-53,-2.139836696565585e-30,-5.246471894976014e-29,1.5515384309657723e-30,,,,1.534675845725155e-29,948,2382,2185,3578
5049,-5.795413981610062e-53,2.037614667120987e-52,1.3960233362780555e-51,,,,4.752021122993832e-53,-4.453972249308831e-30,-3.894508161238581e-29,1.6246337740018285e-29,,,,1.3829708446200558e-29,948,2382,2185,3578
5050,-5.836533985664362e-53,1.859889181709731e-52,1.2841428803059706e-51,,,,4.527681220297513e-53,-6.513564581664829e-30,-2.607135258452382e-29,2.9480631975058805e-29,,,,1.2262652422523798e-29,948,2382,2185,3578
5051,-5.798584044195701e-53,1.6732016046687693e-52,1.165153414682864e-51,,,,4.263802216969898e-53,-8.313601036265988e-30,-1.3955271408803656e-29,4.120731406336066e-29,,,,1.0670134912782971e-29,948,2382,2185,3578
5052,-5.688782338915897e-53,1.4807316167939528e-52,1.0412004128097482e-51,,,,3.9671645832088915e-53,-9.85285614394477e-30,-2.689261429526997e-30,5.140280515213646e-29,,,,9.074942016549438e-30,948,2382,2185,3578
5053,-5.5146633110394e-53,1.2854632613185196e-52,9.143110919610298e-52,,,,3.6443961070193016e-53,-1.113358529954656e-29,7.653123600725122e-30,6.006535826649753e-29,,,,7.49795596757455e-30,948,2382,2185,3578
5054,-5.283953199516081e-53,1.0901629500792407e-52,7.863782253194001e-52,,,,3.3018990666224225e-53,-1.2161199427616018e-29,1.7016546584836719e-29,6.721322360206665e-29,,,,5.958046719375329e-30,948,2382,2185,3578
5055,-5.004453684330949e-53,8.973621586889919e-53,6.5914707197523605e-52,,,,2.9457865185176776e-53,-1.2943926467669243e-29,2.536305382280875e-29,7.288271097942306e-29,,,,4.4719988091713174e-30,948,2382,2185,3578
5056,-4.683934451931217e-53,7.093446358664307e-53,5.342053288634447e-52,,,,2.581827750635434e-53,-1.3492465183467143e-29,3.267108756112321e-29,7.71261832966686e-29,,,,3.0544714458677693e-30,948,2382,2185,3578
5057,-4.330035314806368e-53,5.281379084991053e-53,4.1297597765191185e-52,,,,2.2154028271441043e-53,-1.3819636431811405e-29,3.893437025314336e-29,8.001001283125206e-29,,,,1.7179895123619323e-30,948,2382,2185,3578
5058,-3.950178339770254e-53,3.5550882697716415e-53,2.9671287291496593e-52,,,,1.8514660400030854e-53,-1.3940036622378802e-29,4.416068589126316e-29,8.161253001351131e-29,,,,4.729629686668699e-31,948,2382,2185,3578
5059,-3.5514902712308064e-53,1.9296286475451289e-53,1.864988955040332e-52,,,,1.4945179827590837e-53,-1.3869697669210528e-29,4.837058294669849e-29,8.202199187176464e-29,,,,-6.722680115535858e-31,948,2382,2185,3578
5060,-3.1407353780774735e-53,4.17468618192193e-54,8.324647679388696e-53,,,,1.1485858746459634e-53,-1.3625757284547965e-29,5.159602238047219e-29,8.133459478007515e-29,,,,-1.7113649447152954e-30,948,2382,2185,3578
5061,-2.724258706908013e-53,-9.714511643687644e-54,-1.2299714683570582e-53,,,,8.172116878654164e-54,-1.3226143004198908e-29,5.387899290422421e-29,7.965255347070675e-29,,,,-2.6399028163018648e-30,948,2382,2185,3578
5062,-2.3079395910443854e-53,-2.22963145850022e-53,-9.95581429678137e-53,,,,5.0344756792838654e-54,-1.2689272867490198e-29,5.527011420670252e-29,7.708226554689424e-29,,,,-3.455264589494106e-30,948,2382,2185,3578
5063,-1.897155144803083e-53,-3.3519038344106893e-53,-1.781040560666675e-52,,,,2.0985798590431e-54,-1.2033775210541919e-29,5.582724725522812e-29,7.373257798803492e-29,,,,-4.156521278607961e-30,948,2382,2185,3578
5064,-1.496753366211181e-53,-4.335299303497875e-53,-2.476616474092442e-52,,,,-6.1471978000224645e-55,-1.1278229574943653e-29,5.561412906411501e-29,6.971316941575527e-29,,,,-4.7443003682161794e-30,948,2382,2185,3578
5065,-1.1110353790054623e-53,-5.178899645470702e-53,-3.080949556043372e-52,,,,-3.0892284840684656e-54,-1.044093029018481e-29,5.469904752561935e-29,6.513305921909077e-29,,,,-5.2206452731491395e-30,948,2382,2185,3578
5066,-7.43746266329764e-54,-5.88367483024404e-53,-3.593977276721237e-52,,,,-5.3132211289346e-54,-9.539673862034942e-30,5.315357005348137e-29,6.009925205026729e-29,,,,-5.5888684212820364e-30,948,2382,2185,3578
5067,-3.980738838852447e-54,-6.452309822649204e-53,-4.0168246518206996e-52,,,,-7.279213787667369e-54,-8.59157089450902e-30,5.105133792258151e-29,5.471552372568012e-29,,,,-5.8534004039346305e-30,948,2382,2185,3578
5068,-7.665498905622265e-55,-6.889023915747799e-53,-4.351688646416423e-52,,,,-8.983699816806895e-54,-7.612882893487637e-30,4.8466936326616344e-29,4.908135222235883e-29,,,,-6.0196374816351235e-30,948,2382,2185,3578
5069,2.1841201574863015e-54,-7.1993855676514425e-53,-4.601718533437449e-52,,,,-1.0426856896740769e-53,-6.6188839482818e-30,4.547484834269497e-29,4.3290995267555433e-29,,,,-6.093789559666148e-30,948,2382,2185,3578
5070,4.855484532394731e-54,-7.390125521883503e-53,-4.7708941000124e-52,,,,-1.161223129056675e-53,-5.623746965626722e-30,4.2148499208662645e-29,3.7432713993588273e-29,,,,-6.0827305618458525e-30,948,2382,2185,3578
5071,7.23671596883067e-54,-7.468950777034739e-53,-4.8639034617655456e-52,,,,-1.2546405347790747e-53,-4.640453840376246e-30,3.855939560461723e-29,3.158814028372371e-29,,,,-5.993852935883304e-30,948,2382,2185,3578
5072,9.321664975307675e-54,-7.444361742189e-53,-4.886022100482808e-52,,,,-1.3238653983467274e-53,-3.680728689618399e-30,3.4776363000843155e-29,2.5831783776343133e-29,,,,-5.834927822689229e-30,948,2382,2185,3578
