FRAMES,FP1_FORCE_X,FP1_FORCE_Y,FP1_FORCE_Z,FP1_COFP_X,FP1_COFP_Y,FP1_COFP_Z,FP1_FREEMOMENT_Z,FP2_FORCE_X,FP2_FORCE_Y,FP2_FORCE_Z,FP2_COFP_X,FP2_COFP_Y,FP2_COFP_Z,FP2_FREEMOMENT_Z,Heel_contact_1,Toe_off_1,Heel_contact_2,Toe_off_2
2326.8399999999992,2.16454758680033,10.92842426824972,32.108796676090705,0.31103146440994883,0.3204003677462181,0.0,0.24835660828811293,0.2819555399327069,-11.999077742727776,56.48037638868323,0.20662087832144058,0.7874680098004934,0.0,1.0977931869049122,947.9999999999998,2381.9999999999995,2184.9999999999995,3577.999999999999
2328.8100000000004,2.1382901929400697,10.40178560138083,30.894171040970047,0.31172258392982527,0.3210200061601197,0.0,0.24573207552316786,0.40463861466021145,-12.17136480253346,56.970523329827614,0.2061682255034131,0.788575344722561,0.0,1.1004748261671242,948.0000000000003,2382.0,2185.0000000000005,3578.0000000000014
2330.78,2.1056533885280238,9.887695821246368,29.705487689954925,0.31217466817620343,0.32146711880729983,0.0,0.24290591489766028,0.5301783411225439,-12.319565071916605,57.49931755588304,0.20581249832452544,0.7897225545293967,0.0,1.1022254685300228,948.0000000000001,2382.0000000000005,2185.0,3578.0
2332.7500000000005,2.067165962181545,9.388670277523797,28.545291748159297,0.31208079611662215,0.32209575373194105,0.0,0.2398669786128673,0.6579143247177511,-12.44601951693678,58.0645879018377,0.20543631330975282,0.790805892806634,0.0,1.1031081539350283,948.0000000000001,2382.0000000000005,2185.0,3578.0000000000005
2334.72,2.023359877310912,8.906713357811372,27.416007132102916,0.3124016918478214,0.32328916668941055,0.0,0.23661051459833202,0.7870441863534505,-12.55373181850563,58.6635029684442,0.2049887426226106,0.7917188809291381,0.0,1.1032209701581135,948.0000000000001,2382.0,2185.0,3578.0000000000005
2336.69,1.9747666195554152,8.443299238559483,26.319874868876617,0.3126664488123771,0.324044000703784,0.0,0.23313870333219186,0.9166556435175804,-12.646194455283045,59.29267717506146,0.20466516248091127,0.7927659862508513,0.0,1.1026916821538881,947.9999999999999,2381.9999999999995,2185.0,3577.9999999999995
2338.6600000000003,1.9219155513129909,7.99938046832769,25.25888901710573,0.31252552934806416,0.3247771726432842,0.0,0.22946088309700288,1.0457673142363608,-12.727208637470453,59.94829065908863,0.20429449319522267,0.793719462769998,0.0,1.101671363020459,948.0000000000003,2382.0000000000005,2185.0000000000005,3578.000000000001
2340.63,1.865332926105581,7.575420636593436,24.23473408913108,0.31308783426021264,0.3258868871593405,0.0,0.22559344061050862,1.1733738191199254,-12.80070556586393,60.6262188844887,0.20392226270433264,0.7947311710972489,0.0,1.1003275219290145,948.0000000000003,2382.0000000000005,2185.0,3578.0
2342.6,1.805540491614725,7.171446658306592,23.248727954874074,0.31387744129185796,0.3265332568684809,0.0,0.22155934518559026,1.298490682555681,-12.870575823453597,61.3221674143385,0.20348740500533105,0.7958884308422104,0.0,1.098837194993907,948.0,2382.0,2185.0,3577.999999999999
2344.5699999999997,1.7430530840403065,6.7871154841875265,22.301774025732286,0.31415761708215817,0.3275395711038379,0.0,0.21738735681992824,1.4201949501999616,-12.940512788195969,62.031807011097136,0.20314115693263357,0.796991450911361,0.0,1.0973804074598545,948.0,2382.0,2184.9999999999995,3578.0
